citation_key,evaluation_setting,variant,configuration_label,claim_endpoint,O_levels,C_levels,E_levels,A_levels,N_levels,physics_insertion,source_section,source_page,source_evidence,anchor_url,anchor_basis,verification_status,verified_on
sun2025grayswan,D,,gray-swan cyclone OOD evaluation,OOD tropical-cyclone forecast skill,O0,C2,E1,A0,N2,representation,Gray-swan evaluation design; High-intensity cyclone results; Methods,published pp. e2420914122 (section-located),Rare high-intensity tropical-cyclone evaluation transferred cautiously to ocean-intelligence OOD design.,https://doi.org/10.1073/pnas.2420914122,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
weiss2023robustLocalization,S,,robust acoustic localization,underwater acoustic localization under model mismatch,O0,C2,E0,A0,N2,representation,Signal model and robust estimator; Mismatch experiments,published pp. 1–5 (section-located),Model-mismatch localization evidence used for acoustic OOD and consequence evaluation.,https://doi.org/10.1109/ICASSP49357.2023.10094981,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lowe2025loopcurrent,D,,OceanNet Loop Current prediction,long-term Loop Current eddy evolution prediction,O0,C2,E1,A0,N2,representation,OceanNet method and data; Loop Current forecast evaluation,HTML n.p. (stable named section),Regional eddy-evolution evidence used for dynamically difficult regime and long-rollout discussion.,https://doi.org/10.1175/AIES-D-24-0039.1,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
zhang2023verticalMHW,D,,vertical MHW structure analysis,vertical marine-heatwave structure characterization,O1,C0,E0,A0,N2,none,Methods—event identification; Results—vertical structure,published pp. 6483 (section-located),Observation-based vertical marine-heatwave structure used to motivate depth-resolved evaluation.,https://doi.org/10.1038/s41467-023-42219-0,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
guo2024subsurfaceMHW,S,,subsurface MHW model experiment,future subsurface marine-heatwave behavior in an eddy-resolving model,O0,C2,E1,A0,N2,representation,Methods—eddy-resolving experiments; Results—subsurface extremes,published pp. 10777 (section-located),Eddy-resolving projection used to motivate sensitivity of subsurface extremes to fine-scale dynamics.,https://doi.org/10.1038/s41467-024-54946-z,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
jahanmard2026principledFNO,D,,principled FNO regional ocean model,high-resolution regional ocean modeling with physics-structured FNO representation,O0,C2,E1,A0,N2,representation,Physics-structured FNO; Regional-ocean experiments,published pp. e2025JH001131 (section-located),The retained evidence supports a physics-structured operator representation; no separate penalty/projection term is coded.,https://doi.org/10.1029/2025JH001131,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
long2023deepUDA,D,,data-domain adaptation source ranging,source-range estimation on shifted recorded/offline data,O0,C0,E0,A0,N2,none,Domain-adaptation method; Offline source-ranging evaluation,published pp. 3125–3144 (section-located),"The evaluated mechanism is generic adversarial latent-space domain alignment between simulated and measured acoustic data. Physical mismatch defines the shift, but no physics-specific representation or constraint is established in the adaptation computation.",https://doi.org/10.1121/10.0022380,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
long2023deepUDA,S,,simulated domain-shift source ranging,source-range estimation under simulated acoustic domain shift,O0,C0,E0,A0,N2,none,Domain-adaptation method; Simulated mismatch evaluation,published pp. 3125–3144 (section-located),"The evaluated mechanism is generic adversarial latent-space domain alignment between simulated and measured acoustic data. Physical mismatch defines the shift, but no physics-specific representation or constraint is established in the adaptation computation.",https://doi.org/10.1121/10.0022380,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
liu2024shipsUDA,D,,ships-of-opportunity UDA localization,source localization using opportunistic ship data under domain adaptation,O2,C2,E0,A0,N2,representation,UDA formulation; Deep-ocean localization experiments,published pp. 180–196 (section-located),"Unlabeled target-domain adaptation evidence for deep-ocean localization; supports explicit source-domain, target-domain, and measurement-lineage reporting.",https://doi.org/10.1109/JOE.2023.3301089,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
zhou2025partialDA,D,,offline partial-domain adaptation,source-range estimation under partial target-label support,O0,C2,E0,A0,N2,representation,Partial-domain adaptation method; Offline evaluation,published pp. 3529–3546 (section-located),Partial-domain adaptation evidence showing that range-space mismatch can cause negative transfer; motivates support diagnostics and adverse-transfer reporting.,https://doi.org/10.1121/10.0039634,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
zhou2025partialDA,S,,simulated negative-transfer stress test,source-range estimation under simulated partial-domain mismatch,O0,C2,E0,A0,N2,representation,Partial-domain adaptation method; Negative-transfer stress test,published pp. 3529–3546 (section-located),Partial-domain adaptation evidence showing that range-space mismatch can cause negative transfer; motivates support diagnostics and adverse-transfer reporting.,https://doi.org/10.1121/10.0039634,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
kari2026jointDA,D,,offline joint source-environment adaptation,source ranging under recorded/offline source-environment mismatch,O0,C0,E0,A0,N2,none,Joint adaptation method; Offline evaluation,published pp. 1534–1549 (section-located),"The source evaluates test-time adaptation under named source/environment mismatch using model-implied uncertainty and an auxiliary received-signal-energy estimate. Generic uncertainty ranking is not treated as calibrated/proper-score N1, and no physics-specific representation or constraint is inferred.",https://doi.org/10.1109/JOE.2025.3638518,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
kari2026jointDA,S,,simulated joint source-environment adaptation,source ranging under simulated source-environment mismatch,O0,C0,E0,A0,N2,none,Joint adaptation method; Simulated source/environment mismatch,published pp. 1534–1549 (section-located),"The source evaluates test-time adaptation under named source/environment mismatch using model-implied uncertainty and an auxiliary received-signal-energy estimate. Generic uncertainty ranking is not treated as calibrated/proper-score N1, and no physics-specific representation or constraint is inferred.",https://doi.org/10.1109/JOE.2025.3638518,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
cohen2025mhwObjects,D,,object-based MHW forecast evaluation,object-based seasonal-to-multiyear marine-heatwave prediction evaluation,O0,C0,E1,A0,N2,none,Object-based verification method; Forecast evaluation by event attribute,published pp. e2025GL115021 (section-located),"Object-based forecast verification used to motivate complete-event holdouts and location, area, and intensity metrics rather than pointwise averages alone.",https://doi.org/10.1029/2025GL115021,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
huang2025tropicyclonenet,D,,TropicalCycloneNet benchmark/model,global tropical-cyclone forecasting benchmark and method,O1,C2,E1,A0,N2,representation,Dataset and benchmark design; Multibasin experiments,published pp. 5923 (section-located),"Multibasin tropical-cyclone dataset and model used to motivate basin holdouts, heterogeneous environmental inputs, and explicit OOD evaluation.",https://doi.org/10.1038/s41467-025-61087-4,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
niu2026regionalTyphoon,D,,regional AI typhoon prediction,regional AI typhoon forecast skill,O0,C2,E1,A0,N2,representation,Regional model and boundary forcing; Typhoon forecast evaluation,published pp. 61 (section-located),"High-resolution regional typhoon forecasting used to motivate mesoscale structure, intensity, boundary forcing, and verification-lineage checks.",https://doi.org/10.1038/s44304-026-00219-2,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
browne2026oras6SeaIce,D,,ORAS6 sea-ice assimilation,sea-ice data-assimilation analysis in ORAS6,O2,C1,E0,A0,N2,inference,Sec. 2 ORAS6 system and sea-ice assimilation; Sec. 3 Evaluation,published pp. 3299–3311 (section-located),Multicategory sea-ice assimilation makes subgrid thickness distribution and bounded-state constraints explicit.,https://doi.org/10.5194/tc-20-3299-2026,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
williams2026antarcticSIT,D,,Antarctic SIT assimilation-initialized prediction,year-long prediction skill initialized from Antarctic sea-ice-thickness assimilation,O2,C1,E1,A0,N2,inference,Sec. 2 Reanalysis initialization and hindcasts; Sec. 3 Results,published pp. 3795–3815 (section-located),The retained configuration is the year-long hindcast initialized from the assimilative reanalysis; the same-time reanalysis endpoint is not double-coded in E.,https://doi.org/10.5194/tc-20-3795-2026,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
williams2023subgridSIT,D,,subgrid SIT assimilation,effect of subgrid sea-ice-thickness assimilation,O2,C1;C2,E0,A0,N2,inference;representation,Sec. 2 Thickness-distribution assimilation; Sec. 3 Experiments,published pp. 2509–2532 (section-located),Assimilation of the thickness-category distribution shows that unresolved sea-ice structure can alter the resolved analysis and should be part of the state and observation contract.,https://doi.org/10.5194/tc-17-2509-2023,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
edel2025arcticSIT,D,,hybrid Arctic SIT reconstruction,Arctic sea-ice-thickness reconstruction using hybrid ML and DA,O2,C1;C2,E0,A0,N2,inference;representation,Sec. 2 Hybrid reconstruction method; Sec. 3 Evaluation,published pp. 731–752 (section-located),"Hybrid reconstruction illustrates the dependence of historical state estimates on observation coverage, retrieval uncertainty, reanalysis lineage, and learned correction support.",https://doi.org/10.5194/tc-19-731-2025,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
rotondo2026seaIceAlbedo,S,,bounded albedo DA experiment,bounded sea-ice-albedo assimilation and reanalysis-state impact,O2,C1,E0,A0,N2,inference,Sec. 2 Bounded albedo assimilation; Sec. 3 Reanalysis experiments,published pp. 1523–1542 (section-located),The retained endpoint is the data-assimilation/reanalysis experiment; prospective forecast benefit is not coded as a second E level.,https://doi.org/10.5194/tc-20-1523-2026,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
liu2026ssfdiffusion,D,,degradation-aware SSF super-resolution,sound-speed-field super-resolution under degradation,O2,C2,E0,A0,N2,representation,Degradation model and diffusion method; Sound-speed-field experiments,published pp. 12222–12233 (section-located),Degradation-aware sound-speed-field reconstruction motivates explicit modeling of unknown observation degradation and non-Gaussian noise; it does not by itself establish propagation or receiver-task fidelity.,https://doi.org/10.1109/JSTARS.2026.3676542,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
lher2026subarray,D,,ALMA environmental-informed subarray processing,environment-informed subarray processing gain,O1,C2,E0,A0,N2,representation,Environmental/acoustic measurements; Subarray processing method; At-sea results,published pp. 916–927 (section-located),At-sea environmental and acoustic measurements link ocean fluctuations to array coherence and subarray design; the evidence supports consequence-aware processing rather than generic field-accuracy claims.,https://doi.org/10.1109/JOE.2026.3657278,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
meyers2025hil,H,,CougUV HIL/SIL evaluation,closed-loop AUV hardware-in-the-loop behavior compared with field-trial dynamics,O0,C0,E2,A2,N2,none,System architecture; SIL/HIL setup; Closed-loop evaluation results,HTML n.p. (stable named section),"The source reports simulated sensor streams and returned control-surface commands in HIL/SIL. O3 is reserved for evaluated action-dependent acquisition support or scheduling, so generic closed-loop control does not by itself raise the observation code.",https://doi.org/10.23919/OCEANS59106.2025.11245188,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
christensen2026semantic,F,,Semantic Lookout on-water fallback,human-overridable semantic fallback maneuver selection with on-water validation,O0,C0,E2,A2,N2;N3,action_constraint,Semantic Lookout architecture and fallback; On-water experiments,HTML n.p. (stable named section),"The source reports a camera-only VLM selector over water-valid trajectories, predefined fallback and operator handover, named out-of-distribution hazard scenes, and an on-water end-to-end run; N2 and N3 are both retained.",https://doi.org/10.1016/j.oceaneng.2026.124646,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
dong2023assurance,S,,AUV learning-enabled assurance case,quantitative reliability and safety-argument evaluation for learning-enabled components with a simulated AUV case study,O0,C0,E0,A0,N3,none,Assurance-case model; Quantitative reliability assessment; Case study,published pp. 1–48 (section-located),The peer-reviewed article develops quantitative reliability assessment and probabilistic safety-argument templates and evaluates/scopes them with a simulated autonomous underwater vehicle case study.,https://doi.org/10.1145/3570918,version-of-record full text; stable published pagination and named section,full_text_page_anchor,2026-08-18
patterson2026seaturtle,H,,sea-turtle robot controlled-water autonomy,vision-driven closed-loop underwater tracking and obstacle avoidance in controlled water,O1,C0,E2,A2,N0,none,Robot and controller design; Controlled-water experiments,HTML n.p. (stable named section),"Full-text methods and evaluation report depth-heading stabilization, obstacle avoidance and target-centric vision control, validated in pool experiments and a live coral-reef aquarium exhibit.",https://doi.org/10.48550/arXiv.2602.21389,publisher/arXiv full text; stable named section,full_text_section_anchor,2026-08-18
